player,url,wikidata
Piet Kraak,https://en.wikipedia.org/wiki/Piet_Kraak,http://www.wikidata.org/entity/Q354
František Plánička,https://en.wikipedia.org/wiki/Franti%C5%A1ek_Pl%C3%A1ni%C4%8Dka,http://www.wikidata.org/entity/Q379
Lionel Messi,https://en.wikipedia.org/wiki/Lionel_Messi,http://www.wikidata.org/entity/Q615
Adriaan Paulen,https://en.wikipedia.org/wiki/Adriaan_Paulen,http://www.wikidata.org/entity/Q1634
Laurent Blanc,https://en.wikipedia.org/wiki/Laurent_Blanc,http://www.wikidata.org/entity/Q1839
Corentin Martins,https://en.wikipedia.org/wiki/Corentin_Martins,http://www.wikidata.org/entity/Q1879
Manuel Almunia,https://en.wikipedia.org/wiki/Manuel_Almunia,http://www.wikidata.org/entity/Q10711
Lee Hodson,https://en.wikipedia.org/wiki/Lee_Hodson,http://www.wikidata.org/entity/Q10715
John Eustace,https://en.wikipedia.org/wiki/John_Eustace,http://www.wikidata.org/entity/Q10718
Mark Yeates,https://en.wikipedia.org/wiki/Mark_Yeates,http://www.wikidata.org/entity/Q10723
Neuton,https://en.wikipedia.org/wiki/Neuton,http://www.wikidata.org/entity/Q10720
Steve Leo Beleck,https://en.wikipedia.org/wiki/Steve_Leo_Beleck,http://www.wikidata.org/entity/Q10727
Jonathan Hogg,https://en.wikipedia.org/wiki/Jonathan_Hogg,http://www.wikidata.org/entity/Q10724
Sean Murray,"https://en.wikipedia.org/wiki/Sean_Murray_(footballer,_born_1993)",http://www.wikidata.org/entity/Q10730
Stephen McGinn,https://en.wikipedia.org/wiki/Stephen_McGinn,http://www.wikidata.org/entity/Q10729
Ikechi Anya,https://en.wikipedia.org/wiki/Ikechi_Anya,http://www.wikidata.org/entity/Q10736
Almen Abdi,https://en.wikipedia.org/wiki/Almen_Abdi,http://www.wikidata.org/entity/Q10754
Marco Cassetti,https://en.wikipedia.org/wiki/Marco_Cassetti,http://www.wikidata.org/entity/Q10758
Connor Smith,"https://en.wikipedia.org/wiki/Connor_Smith_(footballer,_born_1993)",http://www.wikidata.org/entity/Q10761
Adrien Rabiot,https://en.wikipedia.org/wiki/Adrien_Rabiot,http://www.wikidata.org/entity/Q18962
Daniel González Güiza,https://en.wikipedia.org/wiki/Dani_G%C3%BCiza,http://www.wikidata.org/entity/Q19041
Mame Biram Diouf,https://en.wikipedia.org/wiki/Mame_Biram_Diouf,http://www.wikidata.org/entity/Q19051
Karl Henry,https://en.wikipedia.org/wiki/Karl_Henry,http://www.wikidata.org/entity/Q19350
Andrés Guardado,https://en.wikipedia.org/wiki/Andr%C3%A9s_Guardado,http://www.wikidata.org/entity/Q19364
Dani Parejo,https://en.wikipedia.org/wiki/Dani_Parejo,http://www.wikidata.org/entity/Q19388
Éver Banega,https://en.wikipedia.org/wiki/%C3%89ver_Banega,http://www.wikidata.org/entity/Q19392
Raúl Goni,https://en.wikipedia.org/wiki/Ra%C3%BAl_Goni,http://www.wikidata.org/entity/Q27756
José María Movilla,https://en.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Movilla,http://www.wikidata.org/entity/Q27767
Sylvain Marchal,https://en.wikipedia.org/wiki/Sylvain_Marchal,http://www.wikidata.org/entity/Q27770
Felipe Saad,https://en.wikipedia.org/wiki/Felipe_Saad,http://www.wikidata.org/entity/Q27768
Eduardo Ribeiro dos Santos,"https://en.wikipedia.org/wiki/Eduardo_dos_Santos_(footballer,_born_1980)",http://www.wikidata.org/entity/Q27772
Álvaro Rubio,https://en.wikipedia.org/wiki/%C3%81lvaro_Rubio,http://www.wikidata.org/entity/Q27777
Johan Cavalli,https://en.wikipedia.org/wiki/Johan_Cavalli,http://www.wikidata.org/entity/Q27787
François Marque,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Marque,http://www.wikidata.org/entity/Q27791
Wahbi Khazri,https://en.wikipedia.org/wiki/Wahbi_Khazri,http://www.wikidata.org/entity/Q27794
Macedo Novaes,https://en.wikipedia.org/wiki/Magno_Novaes,http://www.wikidata.org/entity/Q27795
Jérémy Choplin,https://en.wikipedia.org/wiki/J%C3%A9r%C3%A9my_Choplin,http://www.wikidata.org/entity/Q27808
Matthieu Sans,https://en.wikipedia.org/wiki/Matthieu_Sans,http://www.wikidata.org/entity/Q27812
Olivier Vannucci,https://en.wikipedia.org/wiki/Olivier_Vannucci,http://www.wikidata.org/entity/Q27824
José María Martín Bejarano-Serrano,"https://en.wikipedia.org/wiki/Jos%C3%A9_Mari_(footballer,_born_1987)",http://www.wikidata.org/entity/Q27833
Frédéric Sammaritano,https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Sammaritano,http://www.wikidata.org/entity/Q27836
Salim Moizini,https://en.wikipedia.org/wiki/Salim_Moizini,http://www.wikidata.org/entity/Q27845
Benoît Trémoulinas,https://en.wikipedia.org/wiki/Beno%C3%AEt_Tr%C3%A9moulinas,http://www.wikidata.org/entity/Q31907
Fahid Ben Khalfallah,https://en.wikipedia.org/wiki/Fahid_Ben_Khalfallah,http://www.wikidata.org/entity/Q31972
José Luis Panizo,https://en.wikipedia.org/wiki/Jos%C3%A9_Luis_Panizo,http://www.wikidata.org/entity/Q31980
Cléverson Gabriel Córdova,https://en.wikipedia.org/wiki/Cl%C3%A9o,http://www.wikidata.org/entity/Q31986
Carlos Henrique dos Santos Souza,"https://en.wikipedia.org/wiki/Henrique_(footballer,_born_1983)",http://www.wikidata.org/entity/Q31988
Abdoulaye Keita,"https://en.wikipedia.org/wiki/Abdoulaye_Keita_(footballer,_born_1990)",http://www.wikidata.org/entity/Q31992
Ažbe Jug,https://en.wikipedia.org/wiki/A%C5%BEbe_Jug,http://www.wikidata.org/entity/Q31997
Henri Saivet,https://en.wikipedia.org/wiki/Henri_Saivet,http://www.wikidata.org/entity/Q32091
Alessandro Del Piero,https://en.wikipedia.org/wiki/Alessandro_Del_Piero,http://www.wikidata.org/entity/Q624
Zinedine Zidane,https://en.wikipedia.org/wiki/Zinedine_Zidane,http://www.wikidata.org/entity/Q1835
Sabri Lamouchi,https://en.wikipedia.org/wiki/Sabri_Lamouchi,http://www.wikidata.org/entity/Q1883
Jürgen Locadia,https://en.wikipedia.org/wiki/J%C3%BCrgen_Locadia,http://www.wikidata.org/entity/Q1885
Memphis Depay,https://en.wikipedia.org/wiki/Memphis_Depay,http://www.wikidata.org/entity/Q1894
Chris Iwelumo,https://en.wikipedia.org/wiki/Chris_Iwelumo,http://www.wikidata.org/entity/Q10726
Troy Deeney,https://en.wikipedia.org/wiki/Troy_Deeney,http://www.wikidata.org/entity/Q10725
Matěj Vydra,https://en.wikipedia.org/wiki/Mat%C4%9Bj_Vydra,http://www.wikidata.org/entity/Q10735
