id,url,occupation,wikiid
Noboru Kurakawa,https://en.wikipedia.org/wiki/The_Bodyguard_(wrestler),athlete,http://www.wikidata.org/entity/Q23662245
Haruka Kitaguchi,https://en.wikipedia.org/wiki/Haruka_Kitaguchi,athlete,http://www.wikidata.org/entity/Q22128988
Fumino Sugiyama,https://en.wikipedia.org/wiki/Fumino_Sugiyama,athlete,http://www.wikidata.org/entity/Q20040792
Akane Nakashima,https://en.wikipedia.org/wiki/Akane_Nakashima,athlete,http://www.wikidata.org/entity/Q21700887
Motoi Oyama,https://en.wikipedia.org/wiki/Motoi_Oyama,athlete,http://www.wikidata.org/entity/Q20640876
Akiyoshi Nagasaki,https://en.wikipedia.org/wiki/Akiyoshi_Matsuoka,athlete,http://www.wikidata.org/entity/Q17225524
Hiroshi Kudo,https://en.wikipedia.org/wiki/Hiroshi_Kudo,athlete,http://www.wikidata.org/entity/Q15296296
Rie Urata,https://en.wikipedia.org/wiki/Rie_Urata,athlete,http://www.wikidata.org/entity/Q11558329
Yūji Takeda,https://en.wikipedia.org/wiki/Yuji_Yaku,athlete,http://www.wikidata.org/entity/Q11546256
Eiko Kakehata,https://en.wikipedia.org/wiki/Eiko_Kakehata,athlete,http://www.wikidata.org/entity/Q11544865
Yūgō Shinohara,https://en.wikipedia.org/wiki/Yugo_Shinohara,athlete,http://www.wikidata.org/entity/Q11603619
Miki Ishii,https://en.wikipedia.org/wiki/Miki_Ishii,athlete,http://www.wikidata.org/entity/Q11585069
Chisato Mishima,https://en.wikipedia.org/wiki/Chisato_Mishima,athlete,http://www.wikidata.org/entity/Q5102051
Kenichi Yamamoto,https://en.wikipedia.org/wiki/Kenichi_Yamamoto_(skier),athlete,http://www.wikidata.org/entity/Q6389266
Katsuyuki Kondo,https://en.wikipedia.org/wiki/Katsuyuki_Kond%C5%8D,athlete,http://www.wikidata.org/entity/Q6378256
Hideo Kobayashi,https://en.wikipedia.org/wiki/Hideo_Kobayashi_(canoeist),athlete,http://www.wikidata.org/entity/Q5752595
