,source,target,edge
14,製造ライン,運用開始,目指し
16,環境低減,返品率,入れ
17,増大両社,出荷・販売,実現
19,トーハン,商品,まいり
24,在庫ヒット率,倉庫等,）
26,早期プレゼンス,早期調達,向上
34,調達件数,リードタイム,短縮
39,トーハン,書籍製造連携,強化
40,桶川センター全体,最小化,目指し
41,両社,ご輪,広げ
45,小ロット効果,収益低減,評価
57,イスラエル同社,（金販売,開始
58,マーケティングDNP,累計売上,目指し
60,制作（制約,悪意,生じ
61,DNP,動画生成サービス,提供
64,セキュリティリスク,セキュリティ環境,構築
66,デザイン,動画演出,実現
68,動画アクション,行動アクション,活用
70,生活者,デジタルコミュニケーション,連動
72,コンテンツこと,満足度コンテンツ,利用
74,最信頼,Oneコミュニケーションこと,」
75,本詳細,こちら,html
88,DNP,・サービス等,提供
89,未来DNP,FutureTour空間,体験
94,DNP,Playブース,出展
99,利用者本人,天井画,見る
103,共同プロジェクト,インターフェンス,出展
105,来場者,・サービス等,体験
109,ワークス日本企業,演習,開発
116,日本企業,攻撃対処コース,開発
117,セキュアワークス,サービス知見,。
118,受講者,対応・復旧,強化
122,必要,トレンド,あり
123,セキュアワークス,支援実績,重ね
127,こと,演習シナリオ,提供
128,TheMITRECorporation,対応策,学ぶ
130,受講者,インシデント対応手順,理解
139,セキュア両社,トレンド演習,提供
145,第回,交通大臣賞,受賞
154,都市緑化機構,交通大臣賞,受賞
155,生活DNP,まちづくり,進め
159,専門社員,維持管理,役立て
170,（DNP）,作業時間,削減
171,展2023（,本サービス,出展
174,効率向上,1週間作業,なっ
175,DNP,蔵書点検サービス,開発
187,※場合,※リーダー,多い
198,富士物流,機器開発,行い
202,作業員,作業,行い
206,作業員,作業,行い
240,価値提供,図書活動,つなげ
241,実験＊DNP,累計売上,目指し
242,＊DNP,実証実験,実施
253,表彰式,認証製品）,行わ
254,DNP,・NPO活動,推進
258,トレード推進功績,企業・団体,もの
260,フェアトレード取り組み,フェアトレード製品,評価
261,DNP,社内評価,いただき
262,認証年度,認証製品,消費
267,DNP,フェア賞,」
275,印刷工場,資材実証,行い
278,デジタル誰,兵庫戦略,策定
279,診断士社員,み,注力
281,実証実験,社会実証,実施
282,ガス削減負荷,インフラ,実現
289,全国地域,検証・活動,貢献
302,会社東海理化,本サービス,導入
303,車両ドア,ナンバー車両,貢献
306,アルコールチェック,白ナンバー車両,義務
307,同社,コンプライアンス,強化
309,日常記録,利用予約,サービス
310,解錠・施錠,車載スマートキー,でき
311,アルコール量,基準環境,寄与
312,○DNP,暗号鍵技術,活用
315,YKKAP,保有車両化,進め
328,（DNP）,自然共生認定,取得
332,生物保全,自然共生制度,開始
335,本社,"15,000㎡",緑化
339,社員,こと,活かし
340,緑地期待,維持管理,寄せ
341,ことコミュニケーション,街づくり,進め
351,（DMA）,コンテンポラリー）提供,開始
356,ビジネスモデル,アート活動,1
357,アーティストACA,現代サービス,展開
359,向けサブスクリプション企業,アート体験,提供
360,保管こと,アート,保有
362,パートナー企業,こと,活用
364,DNPグループ,収益構築,目指し
367,現代作品,こと’,活動
370,DNP,精細デジタルカメラ,仕上げ
375,メディア・アート,メディア制作,行っ
391,芸術DNP,誘導サイン,予定
392,DNP,イベント運営,つなげ
401,札幌市,来場者個人,予定
403,課題DNP,＊2,活用
407,各会場,最新発信,行い
421,導入・サポート,社内導入ノウハウ,開始
425,発生こと,損害根幹,困難
426,CWATDNP,導入支援,開始
429,CWAT,漏えい行為,止める
431,業務効率,監視・レベル,調整
433,CWAT,PC操作挙動,つながり
435,文字列,暗号化機能,）
437,リアル制御,セキュリティ強化,実現
439,セキュリティ提供,情報漏えい対策,拡充
454,（土自社,恐竜展,開催
456,来場者,＊1魅力,感じ
457,・宮澤悠大,企画・プロデュース,2
459,◯恐竜,ふしぎ体験,提供
460,一氏＊3,3Dデータ,使用
463,①世界,ライトコンテンツ,上映
464,恐竜たち,こと,伝え
466,立方体（キューブ）情報,飼育キューブ,紹介
471,参加者,恐竜展,企画
472,◯思い出,◯展示,持ち
473,記念撮影,ディノサンオリジナルフレーム,可能
500,：DNP）,資本業務提携,行い
501,企業,新開発,展開
504,2C事業,生活フィードバック,増加
505,DNP,EC対応提供,行っ
506,み,EC知見,あり
507,両社,EC支援,行い
510,企業サービス,EC支援サービス,開発
512,自社EC両社,ノウハウ・知見,組ん
514,成長DNP,サービス提供強化,図り
516,関連サービス,売上,目指し
531,BPO事業,業務,運用
534,通信リスク,BCP）体制,確立
536,最新技術,顧客満足サービス,提供
537,自由度,運用,実現
540,DNPコアライズ,BPO事業,拡大
557,サンプル両社,各種センサー提供,目指し
561,検出感度,自動運転社会,実現
563,CO2削減,銀エネルギー,なり
565,2023年DNP,電磁波機能,提供
566,中村典永,講演,紹介
567,白,導電両立,し
576,DNP）グループ,展示企画,実施
579,新聞出版）,新聞社）,受賞
581,テント）映像,石岡情熱,再現
588,：性,開催予定,）
594,私他,アカデミー評価,死去
598,文化振興財団,展示作品活動,運営
599,文化振興財団,企画展,運営
604,DNP,価値,紹介
613,本展示DNP,製品・サービス,つなげ
616,心暮らし,製品・サービス,紹介
